ARC_TAG, ARC_NAME ,ARC YEAR,PROVINCE,CONGRESSIONAL DISTRICT,MUNICIPALITY,BARANGAY,BARANGAY CLASSIFICATION
1001-001, Bismartz ,1993,Bukidnon,3rd,Don Carlos,Bismartz,ARC Barangay
1001-002, Cawayan-Impalutao ,1993,Bukidnon,2nd,Impasug-ong,Cawayan,ARC Barangay
1001-002, Cawayan-Impalutao ,1993,Bukidnon,2nd,Impasug-ong,Impalutao,ARC Barangay
1001-003, Maraymaray ,1993,Bukidnon,3rd,Don Carlos,Maray- Maray,ARC Barangay
1001-004, Silae-Dalacutan ,1993,Bukidnon,2nd,Malaybalay,Silae,ARC Barangay
1001-004, Silae-Dalacutan ,1993,Bukidnon,2nd,Cabanglasan,Dalacutan,ARC Barangay
1001-005, South Pangantucan ,1993,Bukidnon,1st,Pangantucan,Payad,ARC Barangay
1001-005, South Pangantucan ,1993,Bukidnon,1st,Pangantucan,Kipaducan,ARC Barangay
1001-005, South Pangantucan ,1993,Bukidnon,1st,Pangantucan,Bangahan,ARC Barangay
1001-005, South Pangantucan ,1993,Bukidnon,1st,Pangantucan,Kimanaet,ARC Barangay
1001-005, South Pangantucan ,1993,Bukidnon,1st,Pangantucan,Langcataon,ARC Barangay
1001-005, South Pangantucan ,1993,Bukidnon,1st,Pangantucan,Malipayon,ARC Barangay
1001-006, Cabadiangan ,1994,Bukidnon,3rd,Kadingilan,Cabadiangan,ARC Barangay
1001-007, Cabanglasan ,1994,Bukidnon,2nd,Cabanglasan,Poblacion,ARC Barangay
1001-007, Cabanglasan ,1994,Bukidnon,2nd,Cabanglasan,Capinonan,ARC Barangay
1001-007, Cabanglasan ,1994,Bukidnon,2nd,Cabanglasan,Anlogan,ARC Barangay
1001-007, Cabanglasan ,1994,Bukidnon,2nd,Cabanglasan,Cabulohan,ARC Barangay
1001-007, Cabanglasan ,1994,Bukidnon,2nd,Cabanglasan,Paradise,ARC Barangay
1001-007, Cabanglasan ,1994,Bukidnon,2nd,Cabanglasan,Iba,ARC Barangay
1001-007, Cabanglasan ,1994,Bukidnon,2nd,Cabanglasan,Mandaing,ARC Barangay
,,,Bukidnon,2nd,Cabanglasan,Canangaan,Non-ARC Barangay
,,,Bukidnon,2nd,Cabanglasan,Freedom,Non-ARC Barangay
,,,Bukidnon,2nd,Cabanglasan,Imbatug,Non-ARC Barangay
,,,Bukidnon,2nd,Cabanglasan,Jasaan,Non-ARC Barangay
,,,Bukidnon,2nd,Cabanglasan,Lambangan,Non-ARC Barangay
,,,Bukidnon,2nd,Cabanglasan,Mandahikan,Non-ARC Barangay
,,,Bukidnon,2nd,Cabanglasan,Mauswagon,Non-ARC Barangay
1001-008, GREENFIELDS ,1994,Bukidnon,2nd,Valencia,Tongan- Tongan,ARC Barangay
1001-008, GREENFIELDS ,1994,Bukidnon,2nd,Valencia,Kahaponan,ARC Barangay
1001-009, Lower Kulaman ,1994,Bukidnon,1st,Sumilao,Poblacion,ARC Barangay
1001-009, Lower Kulaman ,1994,Bukidnon,1st,Sumilao,Kisolon,ARC Barangay
1001-009, Lower Kulaman ,1994,Bukidnon,1st,Sumilao,Lupiagan,ARC Barangay
1001-009, Lower Kulaman ,1994,Bukidnon,1st,Sumilao,San Vicente,ARC Barangay
